title,tags,game_url,img_url
LOOP TRAIN,"['独立游戏', '休闲']",https://www.gcores.com/games/81352,"https://image.gcores.com/97936486-067b-4670-ad4c-a7e7c2206b35.jpg?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
Dark Lung,"['独立游戏', '像素']",https://www.gcores.com/games/81365,"https://image.gcores.com/535f61a9-00fc-477f-a74a-01d88a19dc62.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
普通的一天,"['横版', '解谜', '步行模拟', '像素', '现实', '反乌托邦']",https://www.gcores.com/games/81381,"https://image.gcores.com/11c6ff73-6877-4658-acff-b6ab469030c8.gif?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
Take My Body Somewhere Outside,"['单人', '射击', '复古']",https://www.gcores.com/games/81391,"https://image.gcores.com/6eb0991e-e89d-4d6d-b4c0-aad3524246ee.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
弦上穹Heavenstring,"['独立游戏', '音乐节奏', '单人', '好评原声音轨', '休闲']",https://www.gcores.com/games/81393,"https://image.gcores.com/672cd5c6-7981-471c-a3ee-bed863d37a51.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
星途,"['冒险', '像素']",https://www.gcores.com/games/81108,"https://image.gcores.com/10af5731-cd46-4018-a14f-a12125ec8511.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
字里天地,"['本地多人', '历史']",https://www.gcores.com/games/81171,"https://image.gcores.com/99f29adb-1492-45e3-909d-0ee1d1d59993.gif?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
OGO,"['冒险', '解谜', '独立游戏', '单人', '横版', '科幻', '像素']",https://www.gcores.com/games/81324,"https://image.gcores.com/e9b573e7-f1cd-4f10-9efb-b2afa15ff73b.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
The Seed of Rotten Souls,"['类银河战士恶魔城', '像素', '奇幻']",https://www.gcores.com/games/81353,"https://image.gcores.com/96b5f206-aeba-45bc-8b8f-d15cfbf0834e.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
漫漫长路,"['策略', '单人', '像素', '现实']",https://www.gcores.com/games/81361,"https://image.gcores.com/84f1d91b-f74d-4899-a877-4c3831ae3df2.JPG?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
洛姆与洛姆：启航篇！,"['本地合作', '独立游戏', '冒险', '手绘', '90年代', '幻想']",https://www.gcores.com/games/81362,"https://image.gcores.com/d8c455eb-e266-4b95-9b97-a42fd50eb395.jpg?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
洪水时代,"['文字', '科幻']",https://www.gcores.com/games/81374,"https://image.gcores.com/75e94d49-8cd0-4d0a-bb2b-30fab456522d.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
好梦一日游（序章）,"['文字', '现实']",https://www.gcores.com/games/81385,"https://image.gcores.com/2cba9c80-e3e3-4529-bb41-a68c5f38db2a.jpg?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
双生晶矿,"['冒险', '单人', '横版', '像素', '休闲', '幻想']",https://www.gcores.com/games/81386,"https://image.gcores.com/dfa5fc6d-a094-4050-ae7f-e5eab1e56d47.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
驿站：OneDay,"['角色扮演', '冒险', '文字', '历史', '二战', '休闲']",https://www.gcores.com/games/81394,"https://image.gcores.com/a11ab253-24cb-42ab-bacc-77525bb2a0d9.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
你见过萤火虫没有,"['视觉小说', '文字', '单人', '家庭', '现实']",https://www.gcores.com/games/81149,"https://image.gcores.com/0af98d48-5e6e-42b9-a5f7-12bdcdba7ea5.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
【Booom】花之翼,"['独立游戏', '射击', '单人', '科幻', '休闲', 'Lowpoly']",https://www.gcores.com/games/81224,"https://image.gcores.com/92e422a5-85b1-467c-af37-3c68697e8b24.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
银荷的士高,"['解谜', '复古', '爱情', '平台', '科幻', '动作', '横版', '卡通', '好评原声音轨', 'Lowpoly']",https://www.gcores.com/games/81329,"https://image.gcores.com/2f794c00-c9d6-4340-928b-f762dafd1789.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
神经漫游,"['动作', '赛博朋克', '科幻']",https://www.gcores.com/games/81331,"https://image.gcores.com/114541ff-1c19-4fe6-8f47-052d2848c22d.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
逐月之旅,"['独立游戏', '类银河战士恶魔城', '冒险', '横版', '单人', '幻想', '休闲', '奇幻']",https://www.gcores.com/games/81336,"https://image.gcores.com/e42135e0-1f53-48c9-8add-3772eccb5aaf.jpg?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
归途-Moyu,"['独立游戏', '单人', '家庭', '休闲', '手绘']",https://www.gcores.com/games/81347,"https://image.gcores.com/f6737925-44f1-44f5-9c89-4b1368146535.jpg?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
《T.K.M- Human & Robots》,"['解谜', '文字', '卡通', '科幻']",https://www.gcores.com/games/81351,"https://image.gcores.com/88cce993-6d8b-4994-aa25-c7f395e3950d.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
SWING IT UP 摆！,"['竞速', '在线多人', '像素', '赛博朋克']",https://www.gcores.com/games/81359,"https://image.gcores.com/cbd670ce-7e64-4d7e-8e2e-8ce58ce50003.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
【Booom】扫地机骑士,"['独立游戏', '解谜', '冒险', '本地合作', '本地多人', '横版', '休闲', '像素', '童话', '卡通']",https://www.gcores.com/games/81371,"https://image.gcores.com/d799ef95-11c1-4fc7-afdb-2466605ed954.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
心灵协议,"['独立游戏', '冒险', '单人', '科幻', '复古', '像素', '奇幻', '新怪谈', '超自然', 'Lowpoly']",https://www.gcores.com/games/81465,"https://image.gcores.com/5fa2655e-94f3-4dcc-b5aa-3d00b1586ab0.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
时行者,"['策略', '独立游戏', 'Roguelike', '单人', '像素', '卡通']",https://www.gcores.com/games/81109,"https://image.gcores.com/c4e10f9b-5584-4eda-8791-1afbc7b8de30.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
一起吃烧烤,"['单人', '独立游戏', '休闲', '手绘']",https://www.gcores.com/games/81214,"https://image.gcores.com/03e034b6-b99a-4a23-bef7-95bc2d1a1c51.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
海滨之梦,"['沙盒', '养成', '现实', '休闲']",https://www.gcores.com/games/81218,"https://image.gcores.com/17c6dba3-145a-4289-ba4b-bbbf753ebcba.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
